horario_local,symbol,candle,preco,tendencia,confianca,slope,tau,p_value,intervalo_slope_min,intervalo_slope_max,qtd_pontos,direcao_real
2026-05-06 09:18:56,EURUSD=X,2026-05-06 13:18:00+01:00,1.17592,descendo,alta,-0.00006932,-0.8653,0.00000000,-0.00007909,-0.00006908,30,
2026-05-06 09:19:57,EURUSD=X,2026-05-06 13:19:00+01:00,1.17592,descendo,alta,-0.00006928,-0.8532,0.00000000,-0.00007691,-0.00006386,30,estavel
2026-05-06 09:20:57,EURUSD=X,2026-05-06 13:20:00+01:00,1.17633,descendo,alta,-0.00006923,-0.8104,0.00000000,-0.00007559,-0.00006019,30,subindo
2026-05-06 09:21:57,EURUSD=X,2026-05-06 13:21:00+01:00,1.17633,descendo,alta,-0.00006920,-0.7710,0.00000001,-0.00007547,-0.00005536,30,estavel
2026-05-06 09:22:58,EURUSD=X,2026-05-06 13:22:00+01:00,1.17592,descendo,alta,-0.00006463,-0.7619,0.00000001,-0.00007331,-0.00005190,30,descendo
2026-05-06 09:23:58,EURUSD=X,2026-05-06 13:23:00+01:00,1.17592,descendo,alta,-0.00006293,-0.7528,0.00000002,-0.00007286,-0.00004944,30,estavel
2026-05-06 09:24:58,EURUSD=X,2026-05-06 13:24:00+01:00,1.17619,descendo,alta,-0.00005765,-0.7033,0.00000014,-0.00006921,-0.00004263,30,subindo
2026-05-06 09:25:58,EURUSD=X,2026-05-06 13:25:00+01:00,1.17633,descendo,media,-0.00005190,-0.6505,0.00000109,-0.00006918,-0.00003691,30,subindo
2026-05-06 09:26:59,EURUSD=X,2026-05-06 13:26:00+01:00,1.17633,descendo,media,-0.00004613,-0.5944,0.00000869,-0.00006345,-0.00002967,30,estavel
2026-05-06 09:27:59,EURUSD=X,2026-05-06 13:27:00+01:00,1.17633,descendo,media,-0.00004152,-0.5442,0.00004941,-0.00006019,-0.00002129,30,estavel
2026-05-06 09:28:59,EURUSD=X,2026-05-06 13:28:00+01:00,1.17633,descendo,media,-0.00003458,-0.4753,0.00042115,-0.00005189,-0.00001384,30,estavel
2026-05-06 09:30:00,EURUSD=X,2026-05-06 13:29:00+01:00,1.17633,descendo,media,-0.00002185,-0.4053,0.00275582,-0.00004369,-0.00000989,30,estavel
2026-05-06 09:31:00,EURUSD=X,2026-05-06 13:30:00+01:00,1.17661,descendo,baixa,-0.00001538,-0.2988,0.02792738,-0.00003457,0.00000000,30,subindo
2026-05-06 09:32:00,EURUSD=X,2026-05-06 13:31:00+01:00,1.17661,estavel,baixa,-0.00000629,-0.1889,0.16653620,-0.00002185,0.00000000,30,estavel
2026-05-06 09:33:01,EURUSD=X,2026-05-06 13:32:00+01:00,1.17661,estavel,baixa,0.00000000,-0.0824,0.54731185,-0.00001628,0.00001153,30,estavel
2026-05-06 09:34:01,EURUSD=X,2026-05-06 13:33:00+01:00,1.17661,estavel,baixa,0.00000000,0.0302,0.82625744,-0.00001153,0.00001977,30,estavel
2026-05-06 09:35:01,EURUSD=X,2026-05-06 13:34:00+01:00,1.17647,estavel,baixa,0.00000000,0.1021,0.45485168,-0.00000495,0.00002307,30,descendo
2026-05-06 09:36:01,EURUSD=X,2026-05-06 13:35:00+01:00,1.17633,estavel,baixa,0.00000000,0.1572,0.24997540,0.00000000,0.00002441,30,descendo
2026-05-06 09:37:02,EURUSD=X,2026-05-06 13:36:00+01:00,1.17633,subindo,baixa,0.00001065,0.2183,0.11085968,0.00000000,0.00002516,30,estavel
2026-05-06 09:38:02,EURUSD=X,2026-05-06 13:37:00+01:00,1.17619,subindo,baixa,0.00001153,0.2528,0.06442226,0.00000000,0.00002442,30,descendo
2026-05-06 09:39:03,EURUSD=X,2026-05-06 13:38:00+01:00,1.17619,subindo,baixa,0.00001258,0.3087,0.02422362,0.00000000,0.00002516,30,estavel
2026-05-06 09:40:03,EURUSD=X,2026-05-06 13:39:00+01:00,1.17619,subindo,baixa,0.00001258,0.3541,0.01189516,0.00000000,0.00002307,29,estavel
2026-05-06 09:41:03,EURUSD=X,2026-05-06 13:40:00+01:00,1.17606,subindo,baixa,0.00001317,0.3629,0.00810253,0.00000000,0.00002516,30,descendo
2026-05-06 09:42:04,EURUSD=X,2026-05-06 13:41:00+01:00,1.17606,subindo,baixa,0.00001153,0.3028,0.02713878,0.00000000,0.00002307,30,estavel
2026-05-06 09:43:04,EURUSD=X,2026-05-06 13:42:00+01:00,1.17619,estavel,baixa,0.00000988,0.2635,0.05492321,0.00000000,0.00002305,30,subindo
2026-05-06 09:44:04,EURUSD=X,2026-05-06 13:43:00+01:00,1.17633,estavel,baixa,0.00000000,0.1571,0.27754008,0.00000000,0.00001536,28,subindo
2026-05-06 09:45:05,EURUSD=X,2026-05-06 13:44:00+01:00,1.17647,estavel,baixa,0.00000693,0.2420,0.08517199,0.00000000,0.00002075,29,subindo
2026-05-06 09:46:05,EURUSD=X,2026-05-06 13:45:00+01:00,1.17633,estavel,baixa,0.00000000,0.2003,0.15546462,0.00000000,0.00001804,29,descendo
2026-05-06 09:47:05,EURUSD=X,2026-05-06 13:46:00+01:00,1.17606,estavel,baixa,0.00000000,0.1427,0.30153510,0.00000000,0.00001537,30,descendo
2026-05-06 09:48:05,EURUSD=X,2026-05-06 13:47:00+01:00,1.17606,estavel,baixa,0.00000000,0.0230,0.86801297,-0.00000814,0.00000728,30,estavel
2026-05-06 09:49:06,EURUSD=X,2026-05-06 13:48:00+01:00,1.17606,estavel,baixa,0.00000000,-0.0923,0.50600442,-0.00001153,0.00000000,30,estavel
2026-05-06 09:50:06,EURUSD=X,2026-05-06 13:49:00+01:00,1.17606,estavel,baixa,0.00000000,-0.2136,0.12460683,-0.00001318,0.00000000,30,estavel
2026-05-06 09:51:06,EURUSD=X,2026-05-06 13:50:00+01:00,1.17633,estavel,baixa,0.00000000,-0.1776,0.20171394,-0.00001318,0.00000000,30,subindo
2026-05-06 09:52:06,EURUSD=X,2026-05-06 13:51:00+01:00,1.17606,estavel,baixa,0.00000000,-0.2073,0.13554288,-0.00001384,0.00000000,30,descendo
2026-05-06 09:53:07,EURUSD=X,2026-05-06 13:52:00+01:00,1.17606,descendo,baixa,-0.00001065,-0.3330,0.01706934,-0.00001536,0.00000000,30,estavel
2026-05-06 09:54:07,EURUSD=X,2026-05-06 13:53:00+01:00,1.17619,descendo,media,-0.00001107,-0.4316,0.00210164,-0.00001538,0.00000000,30,subindo
2026-05-06 09:55:07,EURUSD=X,2026-05-06 13:54:00+01:00,1.17619,descendo,media,-0.00001154,-0.4732,0.00074648,-0.00001628,0.00000000,30,estavel
2026-05-06 09:56:07,EURUSD=X,2026-05-06 13:55:00+01:00,1.17592,descendo,media,-0.00001384,-0.5210,0.00018412,-0.00001977,-0.00000532,30,descendo
2026-05-06 09:57:08,EURUSD=X,2026-05-06 13:56:00+01:00,1.17592,descendo,media,-0.00001536,-0.5641,0.00004657,-0.00002129,-0.00000989,30,estavel
2026-05-06 09:58:08,EURUSD=X,2026-05-06 13:57:00+01:00,1.17578,descendo,media,-0.00001730,-0.6065,0.00001057,-0.00002516,-0.00001258,30,descendo
2026-05-06 09:59:08,EURUSD=X,2026-05-06 13:58:00+01:00,1.17564,descendo,media,-0.00002076,-0.6465,0.00000234,-0.00002914,-0.00001457,30,descendo
2026-05-06 10:00:09,EURUSD=X,2026-05-06 13:59:00+01:00,1.17564,descendo,media,-0.00002515,-0.6827,0.00000056,-0.00003257,-0.00001727,30,estavel
2026-05-06 10:01:09,EURUSD=X,2026-05-06 14:00:00+01:00,1.17564,descendo,media,-0.00002516,-0.6843,0.00000051,-0.00003320,-0.00001730,30,estavel
2026-05-06 10:02:09,EURUSD=X,2026-05-06 14:01:00+01:00,1.17592,descendo,media,-0.00002307,-0.6644,0.00000109,-0.00003143,-0.00001538,30,subindo
2026-05-06 10:03:10,EURUSD=X,2026-05-06 14:02:00+01:00,1.17592,descendo,media,-0.00002075,-0.6414,0.00000265,-0.00002911,-0.00001383,30,estavel
2026-05-06 10:04:10,EURUSD=X,2026-05-06 14:03:00+01:00,1.17606,descendo,media,-0.00001660,-0.5881,0.00001882,-0.00002515,-0.00001063,30,subindo
2026-05-06 10:05:10,EURUSD=X,2026-05-06 14:04:00+01:00,1.17619,descendo,media,-0.00001384,-0.4934,0.00035113,-0.00002185,-0.00000628,30,subindo
2026-05-06 10:06:11,EURUSD=X,2026-05-06 14:05:00+01:00,1.17564,descendo,media,-0.00001536,-0.5003,0.00028620,-0.00002307,-0.00000659,30,descendo
2026-05-06 10:07:11,EURUSD=X,2026-05-06 14:06:00+01:00,1.17564,descendo,media,-0.00001538,-0.5036,0.00026466,-0.00002405,-0.00000659,30,estavel
2026-05-06 10:08:11,EURUSD=X,2026-05-06 14:07:00+01:00,1.17536,descendo,media,-0.00001974,-0.5346,0.00009868,-0.00002860,-0.00000987,30,descendo
2026-05-06 10:09:11,EURUSD=X,2026-05-06 14:08:00+01:00,1.17509,descendo,media,-0.00002061,-0.5295,0.00015173,-0.00003073,-0.00000987,29,descendo
2026-05-06 10:10:12,EURUSD=X,2026-05-06 14:09:00+01:00,1.17509,descendo,media,-0.00002183,-0.5229,0.00024254,-0.00003192,-0.00000921,28,estavel
2026-05-06 10:11:12,EURUSD=X,2026-05-06 14:10:00+01:00,1.17550,descendo,media,-0.00002514,-0.5792,0.00004245,-0.00003456,-0.00001384,28,subindo
2026-05-06 10:12:12,EURUSD=X,2026-05-06 14:11:00+01:00,1.17564,descendo,media,-0.00003073,-0.6492,0.00000158,-0.00004095,-0.00002074,30,subindo
2026-05-06 10:13:12,EURUSD=X,2026-05-06 14:12:00+01:00,1.17564,descendo,media,-0.00003073,-0.6444,0.00000198,-0.00004068,-0.00001974,30,estavel
2026-05-06 10:14:13,EURUSD=X,2026-05-06 14:13:00+01:00,1.17592,descendo,media,-0.00002765,-0.5869,0.00001538,-0.00003772,-0.00001538,30,subindo
2026-05-06 10:15:13,EURUSD=X,2026-05-06 14:14:00+01:00,1.17592,descendo,media,-0.00002183,-0.5189,0.00014251,-0.00003454,-0.00000988,30,estavel
2026-05-06 10:16:13,EURUSD=X,2026-05-06 14:15:00+01:00,1.17592,descendo,media,-0.00001727,-0.4499,0.00102292,-0.00003070,-0.00000493,30,estavel
2026-05-06 10:17:13,EURUSD=X,2026-05-06 14:16:00+01:00,1.17606,descendo,baixa,-0.00001383,-0.3749,0.00620421,-0.00002910,0.00000000,30,subindo
2026-05-06 10:18:14,EURUSD=X,2026-05-06 14:17:00+01:00,1.17606,descendo,baixa,-0.00001151,-0.2999,0.02856552,-0.00002765,0.00000000,30,estavel
2026-05-06 10:19:14,EURUSD=X,2026-05-06 14:18:00+01:00,1.17592,estavel,baixa,-0.00000922,-0.2578,0.05999537,-0.00002592,0.00000000,30,descendo
2026-05-06 10:20:14,EURUSD=X,2026-05-06 14:19:00+01:00,1.17578,estavel,baixa,-0.00000768,-0.2315,0.09003541,-0.00002514,0.00000000,30,descendo
2026-05-06 10:21:14,EURUSD=X,2026-05-06 14:20:00+01:00,1.17578,estavel,baixa,0.00000000,-0.1657,0.24739498,-0.00001536,0.00000000,28,estavel
2026-05-06 10:22:15,EURUSD=X,2026-05-06 14:22:00+01:00,1.17564,estavel,baixa,0.00000000,-0.1438,0.29578965,-0.00001596,0.00000000,30,descendo
2026-05-06 10:23:15,EURUSD=X,2026-05-06 14:22:00+01:00,1.17564,estavel,baixa,0.00000000,-0.1438,0.29578965,-0.00001596,0.00000000,30,estavel
2026-05-06 10:24:15,EURUSD=X,2026-05-06 14:24:00+01:00,1.17550,estavel,baixa,0.00000000,-0.0917,0.50687319,-0.00001153,0.00000000,30,descendo
2026-05-06 10:25:15,EURUSD=X,2026-05-06 14:25:00+01:00,1.17550,estavel,baixa,0.00000000,-0.1088,0.42934604,-0.00001257,0.00000000,30,estavel
2026-05-06 10:26:16,EURUSD=X,2026-05-06 14:26:00+01:00,1.17550,estavel,baixa,0.00000000,-0.1210,0.37854877,-0.00001317,0.00000000,30,estavel
2026-05-06 10:27:16,EURUSD=X,2026-05-06 14:27:00+01:00,1.17550,estavel,baixa,0.00000000,-0.1516,0.27058955,-0.00001456,0.00000000,30,estavel
2026-05-06 10:28:17,EURUSD=X,2026-05-06 14:28:00+01:00,1.17550,estavel,baixa,-0.00000531,-0.2061,0.13354217,-0.00001885,0.00000000,30,estavel
2026-05-06 10:29:17,EURUSD=X,2026-05-06 14:29:00+01:00,1.17536,estavel,baixa,-0.00000864,-0.2713,0.04705989,-0.00002514,0.00000000,30,descendo
2026-05-06 10:30:17,EURUSD=X,2026-05-06 14:30:00+01:00,1.17536,descendo,baixa,-0.00001317,-0.3313,0.01494054,-0.00002766,0.00000000,30,estavel
2026-05-06 10:31:17,EURUSD=X,2026-05-06 14:31:00+01:00,1.17509,descendo,baixa,-0.00001659,-0.3571,0.00854584,-0.00003073,0.00000000,30,descendo
2026-05-06 10:32:18,EURUSD=X,2026-05-06 14:32:00+01:00,1.17523,descendo,baixa,-0.00002074,-0.3699,0.00623941,-0.00003454,0.00000000,30,subindo
2026-05-06 10:33:18,EURUSD=X,2026-05-06 14:33:00+01:00,1.17536,descendo,baixa,-0.00001974,-0.3533,0.00907698,-0.00003190,0.00000000,30,subindo
2026-05-06 10:34:18,EURUSD=X,2026-05-06 14:34:00+01:00,1.17564,descendo,baixa,-0.00001023,-0.2699,0.04749959,-0.00002766,0.00000000,30,subindo
2026-05-06 10:35:19,EURUSD=X,2026-05-06 14:35:00+01:00,1.17578,estavel,baixa,-0.00000921,-0.2164,0.11067346,-0.00002765,0.00000000,30,subindo
2026-05-06 10:36:19,EURUSD=X,2026-05-06 14:36:00+01:00,1.17564,estavel,baixa,-0.00000864,-0.1918,0.15739017,-0.00002763,0.00000000,30,descendo
2026-05-06 10:37:19,EURUSD=X,2026-05-06 14:37:00+01:00,1.17592,estavel,baixa,-0.00000813,-0.1847,0.17376873,-0.00002763,0.00000000,30,subindo
2026-05-06 10:38:20,EURUSD=X,2026-05-06 14:38:00+01:00,1.17578,estavel,baixa,-0.00000864,-0.2219,0.10249870,-0.00002763,0.00000000,30,descendo
2026-05-06 10:39:20,EURUSD=X,2026-05-06 14:39:00+01:00,1.17578,estavel,baixa,-0.00000921,-0.2649,0.05195239,-0.00002763,0.00000000,30,estavel
2026-05-06 10:40:20,EURUSD=X,2026-05-06 14:40:00+01:00,1.17564,descendo,baixa,-0.00001064,-0.3054,0.02524736,-0.00002765,0.00000000,30,descendo
2026-05-06 10:41:21,EURUSD=X,2026-05-06 14:41:00+01:00,1.17578,descendo,baixa,-0.00001024,-0.2847,0.03672226,-0.00002766,0.00000000,30,subindo
2026-05-06 10:42:21,EURUSD=X,2026-05-06 14:42:00+01:00,1.17578,estavel,baixa,-0.00000813,-0.2699,0.04771975,-0.00002766,0.00000000,30,estavel
2026-05-06 10:43:21,EURUSD=X,2026-05-06 14:43:00+01:00,1.17550,estavel,baixa,-0.00000691,-0.2529,0.06376340,-0.00002763,0.00000000,30,descendo
2026-05-06 10:44:22,EURUSD=X,2026-05-06 14:44:00+01:00,1.17564,estavel,baixa,-0.00000628,-0.2016,0.14025516,-0.00002303,0.00000000,30,subindo
2026-05-06 10:45:22,EURUSD=X,2026-05-06 14:45:00+01:00,1.17550,estavel,baixa,-0.00000576,-0.1777,0.19510331,-0.00001975,0.00000000,30,descendo
2026-05-06 10:46:22,EURUSD=X,2026-05-06 14:46:00+01:00,1.17550,estavel,baixa,0.00000000,-0.1388,0.31392743,-0.00001536,0.00000000,30,estavel
2026-05-06 10:47:22,EURUSD=X,2026-05-06 14:47:00+01:00,1.17564,estavel,baixa,0.00000000,-0.0561,0.68604249,-0.00000988,0.00000658,30,subindo
