horario_local,symbol,candle,preco,tendencia,confianca,slope,tau,p_value,intervalo_slope_min,intervalo_slope_max,qtd_pontos,direcao_real
2026-05-06 09:18:56,GBPUSD=X,2026-05-06 13:18:00+01:00,1.36136,descendo,alta,-0.00004911,-0.7968,0.00000000,-0.00005560,-0.00004108,30,
2026-05-06 09:19:57,GBPUSD=X,2026-05-06 13:19:00+01:00,1.36125,descendo,alta,-0.00004715,-0.7875,0.00000000,-0.00005424,-0.00004019,30,descendo
2026-05-06 09:20:57,GBPUSD=X,2026-05-06 13:20:00+01:00,1.36193,descendo,alta,-0.00004580,-0.7229,0.00000002,-0.00005334,-0.00003709,30,subindo
2026-05-06 09:21:57,GBPUSD=X,2026-05-06 13:21:00+01:00,1.36192,descendo,media,-0.00004563,-0.6813,0.00000014,-0.00005314,-0.00003476,30,descendo
2026-05-06 09:22:58,GBPUSD=X,2026-05-06 13:22:00+01:00,1.36153,descendo,media,-0.00004331,-0.6505,0.00000048,-0.00005296,-0.00003093,30,descendo
2026-05-06 09:23:58,GBPUSD=X,2026-05-06 13:23:00+01:00,1.36166,descendo,media,-0.00003956,-0.5998,0.00000347,-0.00005164,-0.00002648,30,subindo
2026-05-06 09:24:58,GBPUSD=X,2026-05-06 13:24:00+01:00,1.36179,descendo,media,-0.00003575,-0.5335,0.00003725,-0.00004691,-0.00001970,30,subindo
2026-05-06 09:25:58,GBPUSD=X,2026-05-06 13:25:00+01:00,1.36188,descendo,media,-0.00003091,-0.4642,0.00033280,-0.00004563,-0.00001546,30,subindo
2026-05-06 09:26:59,GBPUSD=X,2026-05-06 13:26:00+01:00,1.36193,descendo,baixa,-0.00002426,-0.3903,0.00255243,-0.00004327,-0.00001031,30,subindo
2026-05-06 09:27:59,GBPUSD=X,2026-05-06 13:27:00+01:00,1.36193,descendo,baixa,-0.00001987,-0.3171,0.01441233,-0.00004017,-0.00000515,30,estavel
2026-05-06 09:28:59,GBPUSD=X,2026-05-06 13:28:00+01:00,1.36193,descendo,baixa,-0.00001308,-0.2230,0.08617522,-0.00003203,0.00000169,30,estavel
2026-05-06 09:30:00,GBPUSD=X,2026-05-06 13:29:00+01:00,1.36193,estavel,baixa,-0.00000743,-0.1377,0.30053737,-0.00002252,0.00000694,29,estavel
2026-05-06 09:31:00,GBPUSD=X,2026-05-06 13:30:00+01:00,1.36205,estavel,baixa,0.00000000,-0.0125,0.92501660,-0.00001562,0.00001237,29,subindo
2026-05-06 09:32:00,GBPUSD=X,2026-05-06 13:31:00+01:00,1.36219,estavel,baixa,0.00000593,0.1277,0.33706101,-0.00000675,0.00002140,29,subindo
2026-05-06 09:33:01,GBPUSD=X,2026-05-06 13:32:00+01:00,1.36214,subindo,baixa,0.00001161,0.2428,0.06787128,0.00000000,0.00002844,29,descendo
2026-05-06 09:34:01,GBPUSD=X,2026-05-06 13:33:00+01:00,1.36212,subindo,baixa,0.00001648,0.3361,0.00996079,0.00000309,0.00003090,30,descendo
2026-05-06 09:35:01,GBPUSD=X,2026-05-06 13:34:00+01:00,1.36180,subindo,baixa,0.00001562,0.3194,0.01422562,0.00000195,0.00003015,30,descendo
2026-05-06 09:36:01,GBPUSD=X,2026-05-06 13:35:00+01:00,1.36164,subindo,baixa,0.00001562,0.2894,0.02647007,0.00000069,0.00002988,30,descendo
2026-05-06 09:37:02,GBPUSD=X,2026-05-06 13:36:00+01:00,1.36177,subindo,baixa,0.00001685,0.2894,0.02647007,0.00000069,0.00003003,30,subindo
2026-05-06 09:38:02,GBPUSD=X,2026-05-06 13:37:00+01:00,1.36156,subindo,baixa,0.00001668,0.2634,0.04317092,0.00000000,0.00002988,30,descendo
2026-05-06 09:39:03,GBPUSD=X,2026-05-06 13:38:00+01:00,1.36149,subindo,baixa,0.00001668,0.2774,0.03321967,0.00000000,0.00002988,30,descendo
2026-05-06 09:40:03,GBPUSD=X,2026-05-06 13:39:00+01:00,1.36136,subindo,baixa,0.00001685,0.2847,0.02900264,0.00000000,0.00002988,30,descendo
